       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.838477     0.824044       0.003685       0.354829          0.999594          0.817535      5.318820e-03          0.023680           0.853934           0.437749
L2N64     0.837402     0.826194       0.004299       0.188546          0.999596          0.924715      1.037843e-04          0.017726           0.865805           0.597804
L3N64     0.837249     0.825733       0.004453       0.105021          0.999951          0.933729      1.132634e-04          0.040424           0.865510           0.653328
L4N64     0.834331     0.825580       0.004146       0.248733          0.999991          0.864393      2.259272e-06          0.031862           0.863674           0.523316
L5N64     0.836020     0.824812       0.003992       0.184400          1.000000          0.869782      8.734718e-09          0.017432           0.877169           0.570958
L1N32     0.837863     0.827422       0.003071       0.070782          0.999680          0.934974      3.959830e-02          0.070774           0.846616           0.682515
L2N32     0.838170     0.828957       0.004453       0.049900          0.999390          0.959530      1.178897e-03          0.051193           0.858372           0.725756
L3N32     0.838630     0.826040       0.004299       0.234454          0.999573          0.894290      3.037712e-04          0.020678           0.858079           0.561254
L4N32     0.837249     0.825119       0.004146       0.167358          0.999946          0.899725      7.775838e-05          0.019835           0.859132           0.613752
L5N32     0.831875     0.823430       0.004453       0.222171          0.999884          0.817404      4.654843e-05          0.015648           0.852971           0.537926
L1N16     0.840319     0.823430       0.001228       0.191310          0.994883          0.925458      3.284434e-01          0.047345           0.840833           0.612518
L2N16     0.834945     0.821895       0.002457       0.394288          0.997571          0.751071      9.073817e-02          0.045177           0.857177           0.404726
L3N16     0.838938     0.821741       0.004913       0.361585          0.997872          0.848520      2.117168e-03          0.042218           0.845720           0.454338
L4N16     0.838323     0.815907       0.004606       0.363273          0.999533          0.699524      1.214242e-02          0.011907           0.856668           0.399713
L5N16     0.836481     0.815139       0.004299       0.433901          0.998951          0.639671      2.557660e-02          0.000000           0.839007           0.349728
L1N8      0.837709     0.820973       0.000768       0.291878          0.997861          0.789329      4.276890e-01          0.000000           0.824190           0.475001
L2N8      0.837249     0.823123       0.002764       0.273146          0.985206          0.852080      1.474130e-01          0.024182           0.817307           0.522887
L3N8      0.838784     0.825119       0.005527       0.164440          0.991955          0.868671      1.885877e-02          0.006658           0.837300           0.574858
L4N8      0.840473     0.759251       0.003071       1.000000          0.987422          0.000000      5.128923e-02          0.000000           0.838475           0.000000
L5N8      0.838938     0.822202       0.007216       0.384155          0.993958          0.807362      5.397797e-03          0.000000           0.835256           0.412211
L1N4      0.836327     0.824812       0.010901       0.241671          0.999241          0.787617      1.164145e-01          0.000000           0.811274           0.511779
L2N4      0.840626     0.808997       0.004299       0.353447          0.982501          0.699560      4.284967e-02          0.000000           0.816215           0.396225
L3N4      0.837863     0.813143       0.125749       0.500537          0.762006          0.538840      0.000000e+00          0.000000           0.564398           0.258924
L4N4      0.836020     0.814832       0.001689       0.357439          0.981615          0.658197      2.158177e-01          0.000000           0.808584           0.362107
L5N4      0.834945     0.697528       0.264548       0.914479          0.979257          0.515597      0.000000e+00          0.000000           0.574974           0.042932
L1N2      0.830032     0.811761       0.102564       0.523261          0.997545          0.592124      2.948558e-02          0.000000           0.691360           0.269067
L2N2      0.759251     0.759251       1.000000       1.000000          0.025833          0.015330      0.000000e+00          0.000000           0.000038           0.002207
L3N2      0.832028     0.759251       0.106403       1.000000          0.754463          0.000000      0.000000e+00          0.000000           0.559565           0.000000
L4N2      0.835713     0.759251       0.069246       1.000000          0.809835          0.476194      0.000000e+00          0.000000           0.637341           0.179272
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000           0.000000
