       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849839     0.840473       0.003838       0.054046          0.999224          0.950151      6.126701e-02          0.088404           0.848588           0.700999
L2N64     0.847996     0.835406       0.004606       0.115461          0.999751          0.914502      1.308228e-03          0.063153           0.861109           0.643677
L3N64     0.845386     0.830186       0.004453       0.173346          0.999775          0.885600      2.011220e-04          0.048515           0.848117           0.617192
L4N64     0.848610     0.835406       0.004453       0.171196          0.999982          0.902495      1.285169e-05          0.038198           0.878061           0.603648
L5N64     0.841855     0.836327       0.004606       0.140949          1.000000          0.945491      3.699057e-08          0.046584           0.851499           0.625499
L1N32     0.849225     0.834024       0.003071       0.275142          0.998981          0.880712      8.217583e-02          0.042788           0.852055           0.534558
L2N32     0.848610     0.830953       0.004913       0.234147          0.998031          0.869253      2.324038e-03          0.044613           0.851679           0.526219
L3N32     0.849839     0.833103       0.004453       0.121142          0.999994          0.897130      2.695913e-03          0.086305           0.852568           0.627759
L4N32     0.848918     0.830800       0.004606       0.240442          0.996032          0.848753      2.216926e-03          0.043431           0.841920           0.521748
L5N32     0.848764     0.828343       0.005067       0.332105          0.999433          0.843574      9.625317e-04          0.016542           0.845302           0.476138
L1N16     0.849685     0.829418       0.000461       0.288500          0.993494          0.804082      3.786533e-01          0.005785           0.828871           0.476855
L2N16     0.851681     0.831261       0.005220       0.276677          0.995245          0.864239      1.792818e-02          0.034764           0.848854           0.496813
L3N16     0.847075     0.835867       0.007216       0.129280          0.990560          0.918697      1.898848e-02          0.054711           0.831434           0.618986
L4N16     0.848150     0.831875       0.007063       0.367880          0.996139          0.856053      8.529094e-03          0.030064           0.843369           0.447491
L5N16     0.844926     0.813450       0.006142       0.465377          0.995240          0.589732      5.029051e-03          0.000000           0.839318           0.287094
L1N8      0.849532     0.823277       0.001382       0.376324          0.996169          0.681997      2.029042e-01          0.043848           0.813338           0.383446
L2N8      0.848918     0.828650       0.005527       0.162905          0.996947          0.750853      8.300135e-02          0.000000           0.831641           0.519197
L3N8      0.848457     0.825580       0.004913       0.442346          0.992136          0.713627      2.945767e-02          0.000000           0.824960           0.345486
L4N8      0.845540     0.816981       0.047597       0.653462          0.815812          0.696750      0.000000e+00          0.000000           0.669099           0.247885
L5N8      0.848764     0.759251       0.004913       1.000000          0.980588          0.370948      4.491079e-02          0.000000           0.828276           0.137706
L1N4      0.845693     0.830032       0.012437       0.378013          0.995518          0.746665      8.658427e-02          0.000000           0.771371           0.407474
L2N4      0.850760     0.759251       0.003071       1.000000          0.979747          0.357072      1.234909e-01          0.000586           0.815778           0.161817
L3N4      0.846154     0.826194       0.039460       0.118532          0.811318          0.807829      0.000000e+00          0.001107           0.653460           0.592971
L4N4      0.847536     0.759251       0.045601       1.000000          0.899087          0.008249      0.000000e+00          0.000000           0.734743           0.001693
L5N4      0.759251     0.694611       1.000000       0.637494          0.000000          0.552158      0.000000e+00          0.000000           0.000000           0.216021
L1N2      0.845386     0.814218       0.013665       0.483495          0.998274          0.558670      1.349409e-01          0.000000           0.785026           0.268692
L2N2      0.840780     0.759251       0.126823       1.000000          0.768309          0.000000      0.000000e+00          0.000000           0.558418           0.000000
L3N2      0.844004     0.814525       0.047904       0.610164          0.771941          0.462527      0.000000e+00          0.000000           0.620923           0.193563
L4N2      0.845386     0.759251       0.063719       1.000000          0.783983          0.372089      0.000000e+00          0.000000           0.615888           0.132159
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000           0.000000
