       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.854445     0.836942       0.005834       0.403040          0.998689          0.747315      1.847025e-04          0.023777           0.834901       4.043818e-01
L2N64     0.849839     0.840319       0.007370       0.213573          0.999733          0.828574      1.033480e-05          0.008541           0.832066       5.389975e-01
L3N64     0.849839     0.840934       0.006756       0.222632          0.999914          0.875192      6.860969e-08          0.016618           0.864981       5.517961e-01
L4N64     0.846768     0.843083       0.008905       0.249655          0.999971          0.879367      9.315212e-07          0.005116           0.837506       5.350005e-01
L5N64     0.850760     0.839091       0.007063       0.374942          0.999992          0.825351      4.294030e-08          0.006564           0.858239       4.425358e-01
L1N32     0.854445     0.838016       0.006909       0.259635          0.998073          0.854517      6.811069e-04          0.016992           0.816204       5.132785e-01
L2N32     0.849532     0.842008       0.006295       0.163980          0.998317          0.862179      1.562044e-04          0.015974           0.834183       6.008521e-01
L3N32     0.849992     0.838477       0.008445       0.302165          0.997145          0.784086      3.765938e-04          0.011379           0.829298       4.556990e-01
L4N32     0.853063     0.837249       0.009980       0.378320          0.998775          0.768078      1.483954e-04          0.016735           0.828046       4.168039e-01
L5N32     0.851528     0.834331       0.011515       0.301704          0.998637          0.820195      2.415990e-05          0.006451           0.838338       5.032098e-01
L1N16     0.850146     0.838784       0.012744       0.320897          0.995248          0.845522      1.172357e-02          0.014330           0.797610       4.530546e-01
L2N16     0.851681     0.842930       0.008445       0.231230          0.993113          0.892987      4.456876e-03          0.011839           0.823226       5.346479e-01
L3N16     0.850914     0.831875       0.011362       0.449255          0.991470          0.568036      3.548351e-03          0.037893           0.817194       3.013795e-01
L4N16     0.855827     0.828497       0.015968       0.329802          0.997254          0.763061      1.172986e-03          0.000598           0.815305       4.593642e-01
L5N16     0.854445     0.827269       0.009827       0.374482          0.997583          0.616274      2.598769e-04          0.001553           0.832687       3.563674e-01
L1N8      0.851374     0.832335       0.039306       0.307232          0.994193          0.765517      2.180105e-02          0.006841           0.752137       4.724047e-01
L2N8      0.852295     0.839398       0.045294       0.348994          0.997147          0.832182      2.800107e-03          0.000000           0.781503       4.490331e-01
L3N8      0.851067     0.834331       0.019960       0.436512          0.975194          0.570145      1.182866e-02          0.001483           0.773417       3.276613e-01
L4N8      0.853524     0.759251       0.011669       1.000000          0.996494          0.073385      4.512258e-03          0.000000           0.818174       1.272458e-02
L5N8      0.851681     0.792722       0.014893       0.539383          0.985818          0.563988      4.064977e-03          0.000000           0.814629       2.457522e-01
L1N4      0.849839     0.799939       0.127437       0.482113          0.986237          0.557396      3.582305e-02          0.000130           0.657129       1.803857e-01
L2N4      0.851221     0.759251       0.064793       1.000000          0.992741          0.474126      8.551240e-03          0.000000           0.717848       1.769698e-01
L3N4      0.850453     0.759251       0.047904       1.000000          0.986279          0.441187      2.757907e-03          0.000000           0.774525       1.260679e-01
L4N4      0.849071     0.759251       0.059880       1.000000          0.987748          0.000000      1.745081e-02          0.000000           0.750846       0.000000e+00
L5N4      0.845540     0.759251       0.048979       1.000000          0.886713          0.000291      0.000000e+00          0.000000           0.686747       2.639364e-05
L1N2      0.845693     0.759251       0.140181       1.000000          0.791863          0.415126      0.000000e+00          0.000000           0.554489       1.233171e-01
L2N2      0.850146     0.759251       0.100568       1.000000          0.770816          0.001978      0.000000e+00          0.000000           0.576631       4.878649e-07
L3N2      0.845847     0.828650       0.181637       0.567634          0.749823          0.651715      0.000000e+00          0.000000           0.516081       2.617207e-01
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000012      0.000000e+00          0.000000           0.000000       2.855312e-09
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000       0.000000e+00
