       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.848457     0.833564       0.008905       0.241363          0.998585          0.875338      2.616543e-04          0.017414           0.841905           0.524932
L2N64     0.848918     0.832949       0.008752       0.255489          0.998890          0.842178      5.440067e-05          0.026578           0.837926           0.519398
L3N64     0.846461     0.830953       0.009519       0.277138          0.999101          0.775099      5.007485e-05          0.010631           0.844284           0.456523
L4N64     0.846614     0.829725       0.007523       0.266390          0.999964          0.817233      8.772100e-08          0.011936           0.832720           0.512400
L5N64     0.842622     0.833410       0.016122       0.247505          0.999976          0.890900      1.791290e-09          0.019516           0.827476           0.524265
L1N32     0.847843     0.834178       0.012283       0.243974          0.998029          0.869968      2.738263e-03          0.010964           0.801083           0.542842
L2N32     0.849378     0.824965       0.006449       0.337786          0.990332          0.790827      3.417909e-03          0.000313           0.826027           0.454158
L3N32     0.848764     0.828804       0.009827       0.400891          0.996798          0.816532      2.618102e-04          0.016773           0.851256           0.413042
L4N32     0.844618     0.829418       0.012437       0.296637          0.993391          0.827239      1.983385e-03          0.005027           0.802264           0.474329
L5N32     0.846768     0.828036       0.013665       0.439429          0.996698          0.723814      5.621514e-04          0.007337           0.816034           0.374089
L1N16     0.846614     0.826194       0.014126       0.333180          0.998350          0.843506      1.176080e-03          0.009955           0.796098           0.468196
L2N16     0.849071     0.826808       0.011055       0.339936          0.997292          0.805816      1.050688e-04          0.008267           0.823709           0.454179
L3N16     0.846307     0.828190       0.010441       0.367265          0.994031          0.827347      2.536587e-03          0.009734           0.830962           0.436303
L4N16     0.845079     0.823430       0.012283       0.640872          0.999304          0.707771      7.999004e-05          0.000867           0.825767           0.280444
L5N16     0.849071     0.825733       0.022110       0.461999          0.996657          0.746944      1.146078e-03          0.006354           0.819042           0.355352
L1N8      0.844311     0.817442       0.024259       0.514817          0.994362          0.609099      3.082806e-02          0.000000           0.772933           0.214261
L2N8      0.844618     0.821434       0.038078       0.485183          0.997241          0.740775      3.124415e-03          0.010142           0.780164           0.338985
L3N8      0.846461     0.823584       0.019039       0.493935          0.973192          0.605059      2.723455e-02          0.000000           0.768563           0.288714
L4N8      0.847075     0.759251       0.012590       1.000000          0.983744          0.000000      5.910814e-03          0.000000           0.800158           0.000000
L5N8      0.845386     0.759251       0.031476       1.000000          0.985176          0.338211      4.169166e-03          0.000000           0.769087           0.138679
L1N4      0.840319     0.759251       0.051896       1.000000          0.987659          0.389869      0.000000e+00          0.000000           0.730143           0.133635
L2N4      0.841855     0.817903       0.375403       0.643175          0.938150          0.562312      0.000000e+00          0.000000           0.451264           0.228600
L3N4      0.844772     0.821895       0.059880       0.512513          0.793486          0.658356      0.000000e+00          0.000000           0.634081           0.295004
L4N4      0.843544     0.824965       0.052357       0.540611          0.983205          0.717715      0.000000e+00          0.000000           0.700992           0.298329
L5N4      0.844772     0.759251       0.022110       1.000000          0.977611          0.000000      0.000000e+00          0.000000           0.774798           0.000000
L1N2      0.828650     0.759251       0.474743       1.000000          0.637089          0.000000      0.000000e+00          0.000000           0.295171           0.000000
L2N2      0.837556     0.820666       0.166129       0.601566          0.787613          0.718968      0.000000e+00          0.000000           0.547525           0.260758
L3N2      0.841548     0.759251       0.073852       1.000000          0.798179          0.000000      0.000000e+00          0.000000           0.615290           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.035689          0.000000      0.000000e+00          0.000000           0.000012           0.000000
L5N2      0.836327     0.759251       0.173499       1.000000          0.764903          0.000000      0.000000e+00          0.000000           0.533013           0.000000
