       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.843544     0.835099       0.008905       0.218793          0.999237          0.911342          0.000175      8.606315e-03           0.823305           0.569995
L2N64     0.838170     0.837863       0.009212       0.159220          0.997665          0.889606          0.000176      2.171618e-02           0.843984           0.599588
L3N64     0.840626     0.828957       0.008138       0.268233          0.999667          0.876680          0.000001      9.305418e-03           0.841278           0.521750
L4N64     0.838938     0.834792       0.007830       0.249962          0.999922          0.900254          0.000001      8.082151e-03           0.845590           0.531734
L5N64     0.839245     0.830032       0.008445       0.202365          0.999829          0.818492          0.000003      1.614434e-02           0.857259           0.515144
L1N32     0.840166     0.833257       0.008138       0.329341          0.998021          0.810613          0.000532      2.158326e-02           0.808459           0.463059
L2N32     0.845540     0.834331       0.008905       0.193152          0.996827          0.898454          0.000909      1.426119e-02           0.831220           0.589259
L3N32     0.841548     0.834638       0.008445       0.441885          0.995547          0.750290          0.001561      6.152093e-03           0.827110           0.375879
L4N32     0.845233     0.828190       0.007216       0.277445          0.993401          0.838009          0.001454      1.192093e-07           0.824094           0.522916
L5N32     0.843544     0.826961       0.010441       0.432059          0.998902          0.765935          0.000087      8.153498e-03           0.830523           0.357926
L1N16     0.843697     0.827422       0.009980       0.340396          0.985975          0.820837          0.011679      1.855761e-02           0.799246           0.444358
L2N16     0.842315     0.832796       0.007216       0.334869          0.993925          0.807448          0.005265      1.209277e-02           0.827245           0.449791
L3N16     0.838784     0.830186       0.008598       0.268540          0.988004          0.857529          0.011340      2.511865e-02           0.830638           0.505344
L4N16     0.844311     0.759251       0.009519       1.000000          0.991707          0.000000          0.006338      0.000000e+00           0.812150           0.000000
L5N16     0.844158     0.813911       0.009212       0.292492          0.998603          0.631955          0.000221      3.121138e-02           0.823156           0.375742
L1N8      0.842622     0.835406       0.018885       0.235068          0.983351          0.863919          0.027174      2.578431e-02           0.757301           0.534111
L2N8      0.845540     0.823277       0.009212       0.446338          0.985176          0.622943          0.004600      5.287528e-03           0.803113           0.280222
L3N8      0.844772     0.759251       0.009212       1.000000          0.994134          0.007132          0.007196      0.000000e+00           0.824762           0.000013
L4N8      0.842930     0.826194       0.008598       0.466759          0.995467          0.731116          0.001819      0.000000e+00           0.825462           0.315783
L5N8      0.840780     0.829572       0.013665       0.333180          0.972689          0.789984          0.008125      6.394744e-03           0.801869           0.455382
L1N4      0.842008     0.811300       0.155689       0.657761          0.992705          0.512869          0.013154      0.000000e+00           0.618491           0.192452
L2N4      0.842162     0.826961       0.029172       0.470137          0.983147          0.654638          0.013570      7.688999e-06           0.749003           0.297512
L3N4      0.842622     0.759251       0.010287       1.000000          0.979181          0.005190          0.021560      0.000000e+00           0.795122           0.002982
L4N4      0.842930     0.804545       0.019960       0.708890          0.978876          0.466337          0.004676      0.000000e+00           0.791236           0.142954
L5N4      0.759251     0.759251       1.000000       1.000000          0.000000          0.003924          0.000000      0.000000e+00           0.000000           0.000003
L1N2      0.840319     0.759251       0.072470       1.000000          0.990865          0.410518          0.036767      0.000000e+00           0.696263           0.110988
L2N2      0.838323     0.829418       0.186089       0.451558          0.981703          0.612261          0.000000      0.000000e+00           0.615747           0.299621
L3N2      0.759251     0.827883       1.000000       0.471519          0.000000          0.555178          0.000000      0.000000e+00           0.000000           0.259807
L4N2      0.841394     0.759251       0.083679       1.000000          0.770666          0.000000          0.000000      0.000000e+00           0.590029           0.000000
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000          0.000000      0.000000e+00           0.000000           0.000000
