       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.852019     0.838984       0.392093       0.683571          0.961216          0.495627      2.683948e-07          0.000614           0.439517           0.179976
L2N64     0.849117     0.839997       0.279257       0.629464          0.982221          0.537436      5.493292e-07          0.000774           0.531026           0.206482
L3N64     0.847229     0.837510       0.268248       0.657746          0.992254          0.479010      3.682546e-08          0.000769           0.543718           0.181656
L4N64     0.847443     0.834516       0.299739       0.707324          0.997617          0.484123      0.000000e+00          0.000798           0.526693           0.166463
L5N64     0.846584     0.836696       0.304161       0.687625          0.998015          0.476315      0.000000e+00          0.000796           0.520089           0.172707
L1N32     0.850990     0.836158       0.405328       0.670735          0.949676          0.481573      1.043234e-05          0.000678           0.422704           0.180939
L2N32     0.850207     0.836220       0.326010       0.688346          0.968628          0.478077      1.160302e-05          0.000868           0.490906           0.172349
L3N32     0.850729     0.834086       0.333932       0.717365          0.974257          0.451365      3.973245e-06          0.001368           0.482554           0.154840
L4N32     0.848810     0.832919       0.338953       0.725902          0.973351          0.441646      1.448800e-06          0.001206           0.482172           0.153668
L5N32     0.849194     0.830800       0.338400       0.715845          0.981975          0.444950      4.425190e-07          0.001113           0.483467           0.152129
L1N16     0.850008     0.835698       0.436680       0.693951          0.934626          0.460144      4.569019e-05          0.000324           0.397431           0.168662
L2N16     0.850883     0.834055       0.371319       0.698649          0.960812          0.453532      5.942519e-05          0.000963           0.451284           0.159757
L3N16     0.850867     0.831875       0.338369       0.736143          0.957499          0.463065      3.726900e-05          0.001758           0.474991           0.145529
L4N16     0.850990     0.828466       0.357086       0.768064          0.967393          0.419369      3.925082e-05          0.001122           0.462286           0.129763
L5N16     0.848734     0.827683       0.347874       0.749086          0.972994          0.364234      4.724881e-05          0.001212           0.477237           0.120827
L1N8      0.848887     0.825641       0.499309       0.753186          0.894479          0.385354      3.820899e-04          0.001208           0.341787           0.126026
L2N8      0.850683     0.816367       0.421035       0.825779          0.939086          0.327038      2.216026e-04          0.000577           0.411484           0.098248
L3N8      0.849117     0.808091       0.382803       0.829986          0.935252          0.346155      1.395564e-04          0.000308           0.443016           0.094807
L4N8      0.850453     0.804668       0.391356       0.848979          0.941674          0.276643      1.195034e-04          0.000129           0.433167           0.081418
L5N8      0.849317     0.785875       0.376186       0.919868          0.910877          0.177163      1.055360e-04          0.000066           0.439498           0.048166
L1N4      0.847167     0.786826       0.537663       0.898296          0.833744          0.296362      7.643434e-04          0.000151           0.305844           0.065022
L2N4      0.849916     0.792047       0.492707       0.879180          0.859941          0.334992      6.063188e-04          0.000920           0.345564           0.081549
L3N4      0.850729     0.779518       0.443098       0.923814          0.870921          0.162095      1.061161e-04          0.000119           0.379568           0.046116
L4N4      0.849516     0.791770       0.446047       0.889897          0.846995          0.290618      9.227316e-05          0.000000           0.382255           0.067904
L5N4      0.848442     0.790204       0.486396       0.908337          0.828274          0.213759      5.750060e-05          0.000084           0.353380           0.052632
L1N2      0.844143     0.784001       0.587686       0.932504          0.747495          0.307075      1.013623e-03          0.000000           0.255236           0.054168
L2N2      0.828481     0.759896       0.634393       0.977353          0.627736          0.123663      1.859486e-04          0.000000           0.238112           0.018690
L3N2      0.829648     0.770859       0.638400       0.977199          0.621931          0.113914      0.000000e+00          0.000000           0.228166           0.021832
L4N2      0.812437     0.771043       0.734823       0.964794          0.443367          0.069989      0.000000e+00          0.000000           0.162101           0.016698
L5N2      0.767650     0.769830       0.956886       0.971994          0.072587          0.076266      0.000000e+00          0.000000           0.028146           0.016633
