       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.855980     0.845079       0.384615       0.618302          0.932379          0.573701      2.853540e-07          0.000365           0.436090           0.207897
L2N64     0.850299     0.844311       0.314602       0.603255          0.965205          0.519416      4.768372e-07          0.000330           0.508385           0.219101
L3N64     0.850146     0.846154       0.193766       0.612007          0.981695          0.487967      0.000000e+00          0.000305           0.603922           0.205953
L4N64     0.851988     0.837709       0.296484       0.743283          0.998196          0.433323      0.000000e+00          0.001289           0.541193           0.137831
L5N64     0.843390     0.841701       0.306464       0.679564          0.994328          0.453467      0.000000e+00          0.000538           0.478989           0.174716
L1N32     0.852910     0.841087       0.441885       0.656226          0.956421          0.539987      9.126105e-07          0.000647           0.389669           0.193268
L2N32     0.854906     0.837863       0.342546       0.761861          0.967451          0.482079      3.297801e-05          0.000473           0.486164           0.142270
L3N32     0.852910     0.838630       0.301551       0.714878          0.974909          0.514090      8.344650e-07          0.000717           0.503328           0.145279
L4N32     0.851681     0.840166       0.341778       0.731767          0.950870          0.427147      0.000000e+00          0.001814           0.465133           0.143287
L5N32     0.852449     0.841394       0.318133       0.620912          0.981568          0.416965      5.960464e-07          0.001980           0.485032           0.185480
L1N16     0.852910     0.841394       0.421772       0.669277          0.926773          0.490674      3.730915e-05          0.000550           0.407666           0.191392
L2N16     0.854752     0.833717       0.411331       0.739905          0.946527          0.461708      2.108216e-04          0.000000           0.421163           0.142219
L3N16     0.855980     0.842469       0.367265       0.623522          0.963194          0.460576      4.100800e-05          0.002096           0.452595           0.189527
L4N16     0.852142     0.834178       0.304622       0.656380          0.952913          0.426094      3.409386e-05          0.001693           0.495057           0.172298
L5N16     0.854599     0.825119       0.348534       0.760172          0.954429          0.252803      2.313102e-04          0.002312           0.487181           0.074013
L1N8      0.854445     0.839552       0.464302       0.735606          0.882954          0.345519      1.663479e-05          0.005813           0.366956           0.131551
L2N8      0.853831     0.838630       0.378013       0.716260          0.935420          0.466004      3.114321e-04          0.000599           0.440786           0.155844
L3N8      0.853524     0.838016       0.424996       0.701981          0.949148          0.409764      2.297759e-04          0.000000           0.417558           0.150687
L4N8      0.853984     0.759251       0.403501       1.000000          0.958615          0.034581      6.171140e-05          0.000000           0.428546           0.006938
L5N8      0.854906     0.759251       0.388607       1.000000          0.881229          0.226918      3.091097e-04          0.000000           0.445959           0.060656
L1N4      0.850760     0.832796       0.519883       0.803624          0.808285          0.291398      1.879394e-03          0.000000           0.313027           0.101775
L2N4      0.854445     0.834945       0.404268       0.783817          0.896248          0.443526      1.622617e-03          0.004213           0.416124           0.106869
L3N4      0.852449     0.759251       0.432366       1.000000          0.800816          0.160090      0.000000e+00          0.000000           0.375493           0.017573
L4N4      0.855980     0.759251       0.360817       1.000000          0.872400          0.270596      2.512852e-04          0.000000           0.447460           0.043635
L5N4      0.851067     0.759251       0.412559       1.000000          0.907418          0.000000      0.000000e+00          0.000000           0.419361           0.000000
L1N2      0.849992     0.759251       0.592814       1.000000          0.755165          0.000000      0.000000e+00          0.000000           0.255611           0.000000
L2N2      0.851374     0.759251       0.501919       1.000000          0.775912          0.018128      0.000000e+00          0.000000           0.330137           0.001695
L3N2      0.850914     0.759251       0.546906       1.000000          0.739545          0.000000      0.000000e+00          0.000000           0.250347           0.000000
L4N2      0.858437     0.759251       0.442346       1.000000          0.857523          0.000000      0.000000e+00          0.000000           0.320494           0.000000
L5N2      0.759251     0.820513       1.000000       0.879318          0.000000          0.289849      0.000000e+00          0.000000           0.000000           0.064063
