       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849685     0.837863       0.433901       0.688776          0.968684          0.499370      3.134816e-07          0.000945           0.415298           0.175316
L2N64     0.845847     0.838016       0.290803       0.612621          0.989004          0.617800      3.576279e-07          0.000513           0.521758           0.215917
L3N64     0.838938     0.831414       0.260556       0.659143          0.993712          0.505224      0.000000e+00          0.000636           0.537161           0.179350
L4N64     0.844311     0.835253       0.308460       0.667895          0.995145          0.468741      0.000000e+00          0.000419           0.517636           0.181522
L5N64     0.841241     0.835253       0.264701       0.641486          0.999727          0.544650      0.000000e+00          0.000924           0.571020           0.199131
L1N32     0.846922     0.832335       0.412713       0.614617          0.944647          0.471877      5.710125e-05          0.001033           0.416199           0.199814
L2N32     0.847996     0.833871       0.376938       0.673729          0.955276          0.429339      1.347065e-05          0.000666           0.454374           0.172768
L3N32     0.849532     0.827883       0.375096       0.837402          0.975206          0.492376      4.768372e-06          0.000000           0.455534           0.099223
L4N32     0.845540     0.830493       0.321204       0.748964          0.975360          0.328564      2.384186e-07          0.001243           0.501126           0.129965
L5N32     0.846461     0.828497       0.302318       0.752649          0.955580          0.355150      5.960464e-07          0.001538           0.495554           0.122098
L1N16     0.845540     0.831261       0.445877       0.785045          0.911558          0.348021      1.106262e-04          0.000000           0.391664           0.118730
L2N16     0.847996     0.833717       0.422693       0.635191          0.969570          0.490173      4.606542e-06          0.000959           0.418590           0.188831
L3N16     0.850146     0.831261       0.404422       0.675418          0.968729          0.513505      7.510185e-06          0.000407           0.429591           0.175333
L4N16     0.850453     0.826347       0.329648       0.736834          0.954918          0.475472      6.751331e-05          0.001100           0.472315           0.146913
L5N16     0.843544     0.825733       0.408260       0.785813          0.984761          0.400665      3.343380e-05          0.000000           0.422588           0.110407
L1N8      0.842469     0.838170       0.531706       0.641026          0.885514          0.478365      7.469649e-05          0.000833           0.309099           0.184167
L2N8      0.846768     0.825119       0.458621       0.803009          0.947216          0.311019      2.896190e-04          0.001847           0.389523           0.099199
L3N8      0.847689     0.827115       0.431291       0.756794          0.949789          0.380560      2.515316e-05          0.001792           0.412761           0.119286
L4N8      0.847229     0.759251       0.422540       1.000000          0.927184          0.000000      9.051561e-04          0.000000           0.411830           0.000000
L5N8      0.848457     0.827729       0.380623       0.773223          0.931114          0.464763      0.000000e+00          0.000437           0.443022           0.129113
L1N4      0.841548     0.820513       0.562874       0.788884          0.822473          0.399294      4.376769e-04          0.001514           0.288299           0.116246
L2N4      0.843544     0.736680       0.510364       0.870259          0.913755          0.402292      4.991889e-04          0.000000           0.338884           0.064808
L3N4      0.846461     0.759251       0.456472       1.000000          0.873324          0.016282      0.000000e+00          0.000000           0.317852           0.003341
L4N4      0.845386     0.759251       0.517427       1.000000          0.779483          0.408115      0.000000e+00          0.000000           0.327112           0.060318
L5N4      0.848150     0.824044       0.432827       0.843237          0.922090          0.386023      1.196861e-04          0.000772           0.409395           0.099505
L1N2      0.840780     0.826808       0.585598       0.807462          0.824543          0.375507      1.219690e-03          0.000000           0.270362           0.093039
L2N2      0.842315     0.701213       0.536005       0.950100          0.791979          0.454919      1.209795e-03          0.000000           0.298789           0.051312
L3N2      0.841701     0.759251       0.637648       1.000000          0.715199          0.285354      0.000000e+00          0.000000           0.228163           0.039337
L4N2      0.759251     0.759251       1.000000       1.000000          0.007899          0.000000      0.000000e+00          0.000000           0.000003           0.000000
L5N2      0.759251     0.803777       1.000000       0.840626          0.000000          0.194785      0.000000e+00          0.000000           0.000000           0.063863
