       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.852602     0.837709       0.068786       0.389682          0.998755          0.716586      9.159932e-06          0.004148           0.736002       3.901868e-01
L2N64     0.853984     0.840473       0.042530       0.345616          0.998673          0.753466      8.869358e-07          0.006068           0.777429       4.371076e-01
L3N64     0.842162     0.837249       0.032090       0.477353          0.995587          0.653276      4.231819e-05          0.002592           0.784885       3.187687e-01
L4N64     0.847996     0.837863       0.106096       0.478121          0.999866          0.672021      1.192093e-07          0.002292           0.746880       3.138208e-01
L5N64     0.847843     0.830339       0.034393       0.614310          0.999983          0.594959      0.000000e+00          0.001051           0.806928       2.291260e-01
L1N32     0.853524     0.834792       0.072163       0.460310          0.994348          0.735434      8.885838e-05          0.003147           0.719884       3.371114e-01
L2N32     0.851835     0.838784       0.065868       0.435283          0.998341          0.746492      1.601022e-04          0.003393           0.752657       3.674201e-01
L3N32     0.853063     0.833410       0.021803       0.463074          0.997604          0.716305      4.435136e-05          0.002836           0.789195       3.421361e-01
L4N32     0.846768     0.836020       0.105174       0.446952          0.994037          0.694290      1.859665e-05          0.001227           0.719809       3.403796e-01
L5N32     0.850914     0.823584       0.050514       0.470904          0.998960          0.491098      3.356085e-06          0.011616           0.780483       2.530251e-01
L1N16     0.853984     0.833564       0.125134       0.465991          0.990812          0.662936      5.244912e-04          0.003351           0.666551       3.277041e-01
L2N16     0.853984     0.835560       0.078458       0.515124          0.980649          0.686695      2.047479e-03          0.003150           0.719798       3.080870e-01
L3N16     0.850146     0.831261       0.089053       0.507754          0.993767          0.501868      7.033088e-04          0.006825           0.712356       2.497497e-01
L4N16     0.854599     0.828650       0.079533       0.562107          0.998806          0.662507      4.144520e-05          0.007046           0.716146       2.792840e-01
L5N16     0.850914     0.759251       0.055274       1.000000          0.985451          0.318689      8.478165e-04          0.000022           0.740114       1.091043e-01
L1N8      0.850914     0.833103       0.183786       0.513435          0.981808          0.573134      4.868355e-03          0.008734           0.617465       2.824057e-01
L2N8      0.849992     0.829725       0.100107       0.465684          0.982931          0.673619      8.510432e-04          0.006787           0.666428       3.277491e-01
L3N8      0.853831     0.818363       0.064333       0.680178          0.990275          0.572485      3.181666e-04          0.000000           0.747703       1.786801e-01
L4N8      0.855520     0.759251       0.079073       1.000000          0.979504          0.001263      9.757280e-04          0.000000           0.722083       5.600016e-04
L5N8      0.856902     0.831414       0.081836       0.463688          0.980781          0.637718      4.029106e-03          0.000000           0.715501       3.250893e-01
L1N4      0.848457     0.831261       0.239674       0.625211          0.949632          0.513995      0.000000e+00          0.000000           0.538476       2.227734e-01
L2N4      0.853370     0.829572       0.131890       0.663289          0.985037          0.599441      1.184106e-03          0.000000           0.670227       2.018418e-01
L3N4      0.850146     0.759251       0.169661       1.000000          0.977526          0.000000      5.867302e-03          0.000000           0.620906       0.000000e+00
L4N4      0.852756     0.817442       0.097804       0.720712          0.984600          0.499635      2.665327e-03          0.000000           0.679189       1.604466e-01
L5N4      0.850453     0.827269       0.144941       0.608475          0.787204          0.556430      0.000000e+00          0.000000           0.568088       2.033131e-01
L1N2      0.846768     0.823123       0.330570       0.690772          0.893746          0.548445      0.000000e+00          0.000000           0.419758       1.718766e-01
L2N2      0.759251     0.823123       1.000000       0.599417          0.015212          0.571442      0.000000e+00          0.000000           0.000002       1.863364e-01
L3N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.005218      0.000000e+00          0.000000           0.000000       8.011256e-07
L4N2      0.841087     0.759251       0.326885       1.000000          0.891080          0.000000      0.000000e+00          0.000000           0.477939       0.000000e+00
L5N2      0.843083     0.759251       0.394442       1.000000          0.764193          0.000000      0.000000e+00          0.000000           0.399388       0.000000e+00
