       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.853217     0.838938       0.042991       0.373407          0.996679          0.722328      5.672660e-06          0.004434       7.596019e-01       4.045104e-01
L2N64     0.853217     0.840012       0.027637       0.485491          0.997386          0.718080      5.022651e-06          0.002777       8.040765e-01       3.365557e-01
L3N64     0.847689     0.838323       0.031629       0.456318          0.999701          0.689358      6.593766e-07          0.003308       8.048537e-01       3.528215e-01
L4N64     0.848918     0.840166       0.086135       0.442346          0.999829          0.677894      2.548900e-08          0.004899       7.772651e-01       3.576201e-01
L5N64     0.846000     0.836327       0.038845       0.398587          0.999877          0.732340      1.192093e-07          0.000958       8.088291e-01       3.953655e-01
L1N32     0.852756     0.834024       0.073392       0.497006          0.991834          0.657437      6.307114e-05          0.003721       7.222660e-01       3.050778e-01
L2N32     0.854752     0.837402       0.081222       0.488715          0.989601          0.622508      3.165007e-04          0.008056       7.281417e-01       3.055114e-01
L3N32     0.851221     0.834024       0.030094       0.578228          0.995373          0.723227      5.025469e-05          0.002874       7.869996e-01       2.800402e-01
L4N32     0.851374     0.837709       0.056502       0.455858          0.996329          0.618428      1.291709e-05          0.005593       7.848822e-01       3.294375e-01
L5N32     0.852449     0.830032       0.091816       0.637648          0.995795          0.541039      4.196632e-06          0.005864       7.209715e-01       2.034001e-01
L1N16     0.849992     0.838170       0.206664       0.452173          0.989118          0.693085      4.206633e-04          0.007080       6.071333e-01       3.652169e-01
L2N16     0.852142     0.836020       0.041763       0.505911          0.987145          0.679666      6.118469e-04          0.003053       7.513763e-01       3.230402e-01
L3N16     0.850146     0.827115       0.045294       0.619837          0.978950          0.530517      7.379950e-04          0.000000       7.741268e-01       2.069454e-01
L4N16     0.849992     0.832028       0.076002       0.609397          0.992435          0.568726      8.749962e-05          0.000136       7.347376e-01       2.325806e-01
L5N16     0.852142     0.831721       0.087824       0.478121          0.995802          0.688154      1.664427e-04          0.000000       7.271224e-01       3.228717e-01
L1N8      0.847536     0.831721       0.230923       0.574083          0.975091          0.552396      5.900264e-03          0.003440       5.698178e-01       2.606598e-01
L2N8      0.848303     0.832028       0.052203       0.633349          0.976742          0.578422      4.938652e-03          0.004319       7.250983e-01       2.271074e-01
L3N8      0.853677     0.835253       0.086442       0.466452          0.993365          0.590465      2.818048e-04          0.009557       7.198198e-01       3.227818e-01
L4N8      0.849532     0.759251       0.049900       1.000000          0.982674          0.000379      4.006803e-03          0.000000       7.255957e-01       2.276013e-07
L5N8      0.851988     0.759251       0.055428       1.000000          0.978312          0.000000      4.395843e-03          0.000000       7.301179e-01       0.000000e+00
L1N4      0.840473     0.759251       0.360203       1.000000          0.937957          0.333665      4.822671e-03          0.000000       4.578290e-01       7.558615e-02
L2N4      0.847229     0.831107       0.228927       0.605712          0.974758          0.575719      6.861627e-03          0.003742       5.747240e-01       2.139375e-01
L3N4      0.849532     0.816367       0.135882       0.733149          0.988251          0.385013      7.191124e-04          0.000000       6.651461e-01       1.264610e-01
L4N4      0.849992     0.821741       0.100722       0.777061          0.963342          0.301648      3.241479e-03          0.000000       6.890314e-01       1.327051e-01
L5N4      0.850760     0.759251       0.177491       1.000000          0.773755          0.000000      0.000000e+00          0.000000       5.486494e-01       0.000000e+00
L1N2      0.843390     0.759251       0.286043       1.000000          0.959009          0.000000      8.199751e-03          0.000000       5.157307e-01       0.000000e+00
L2N2      0.842008     0.759251       0.400737       1.000000          0.760596          0.000000      0.000000e+00          0.000000       3.876655e-01       0.000000e+00
L3N2      0.759251     0.759251       1.000000       1.000000          0.001889          0.032279      0.000000e+00          0.000000       5.334767e-07       1.147917e-02
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000       0.000000e+00       0.000000e+00
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.310407      0.000000e+00          0.000000       0.000000e+00       7.189833e-02
