       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.845079     0.835406       0.070014       0.485644          0.993708          0.739587      1.732678e-05          0.003339       7.326390e-01       3.164318e-01
L2N64     0.846768     0.838630       0.040074       0.433287          0.998363          0.745966      7.147428e-06          0.003201       7.831132e-01       3.568681e-01
L3N64     0.845847     0.836634       0.070474       0.491786          0.999882          0.719570      9.531821e-09          0.002812       7.765821e-01       3.215258e-01
L4N64     0.841548     0.834485       0.042837       0.426839          0.999937          0.662284      7.386629e-10          0.007938       7.812846e-01       3.456900e-01
L5N64     0.842930     0.832182       0.087671       0.497774          0.999973          0.687668      0.000000e+00          0.002522       7.442957e-01       2.957319e-01
L1N32     0.847996     0.820052       0.113465       0.622908          0.997256          0.423960      8.105284e-05          0.000000       6.913201e-01       1.793581e-01
L2N32     0.847689     0.838938       0.042377       0.398741          0.993084          0.735710      1.498085e-04          0.002362       7.926528e-01       3.921963e-01
L3N32     0.847689     0.836942       0.056042       0.463227          0.995301          0.788769      2.093952e-04          0.001777       7.527544e-01       3.503134e-01
L4N32     0.845233     0.838630       0.077077       0.482266          0.997572          0.710323      2.551079e-05          0.001655       7.197449e-01       3.161866e-01
L5N32     0.849225     0.800399       0.019807       0.778597          0.998831          0.554587      7.571572e-06          0.000032       7.941492e-01       1.839883e-01
L1N16     0.849378     0.832489       0.100261       0.550131          0.992059          0.651789      1.669174e-03          0.000000       6.888304e-01       2.735249e-01
L2N16     0.846768     0.830339       0.048672       0.591279          0.995894          0.639031      3.872652e-05          0.010317       7.541942e-01       2.593220e-01
L3N16     0.847229     0.830953       0.039613       0.641947          0.993983          0.616071      1.047850e-04          0.002474       7.618033e-01       2.151166e-01
L4N16     0.847536     0.832028       0.060955       0.586212          0.990393          0.619987      2.928376e-04          0.000000       7.382620e-01       2.467345e-01
L5N16     0.847536     0.759251       0.097804       1.000000          0.978407          0.000027      8.777976e-04          0.000000       6.932175e-01       4.072481e-09
L1N8      0.846614     0.835253       0.110855       0.484416          0.983386          0.716168      7.730903e-03          0.004593       6.604832e-01       3.345106e-01
L2N8      0.847382     0.830186       0.087364       0.624750          0.995968          0.566206      1.352086e-03          0.002141       7.137853e-01       2.144399e-01
L3N8      0.846768     0.827729       0.107324       0.590358          0.987374          0.544569      1.688123e-03          0.000000       7.061825e-01       2.310236e-01
L4N8      0.844618     0.827729       0.064486       0.628589          0.992293          0.545195      2.163340e-04          0.000019       7.598596e-01       1.893272e-01
L5N8      0.844618     0.825580       0.108552       0.633809          0.983507          0.574722      2.455897e-03          0.000000       6.925846e-01       1.863169e-01
L1N4      0.845540     0.829418       0.249655       0.605712          0.981338          0.612032      6.496632e-03          0.000000       5.502522e-01       2.340623e-01
L2N4      0.845079     0.825580       0.112084       0.687394          0.986846          0.492346      8.303087e-03          0.000000       6.682661e-01       1.817932e-01
L3N4      0.759251     0.807616       1.000000       0.681253          0.009148          0.390421      0.000000e+00          0.000000       2.565928e-06       9.388021e-02
L4N4      0.759251     0.769691       1.000000       0.758022          0.000000          0.440168      0.000000e+00          0.000000       0.000000e+00       1.055680e-01
L5N4      0.843390     0.800092       0.265623       0.502687          0.782411          0.407996      0.000000e+00          0.000000       4.952156e-01       1.944003e-01
L1N2      0.839859     0.759251       0.384308       1.000000          0.793360          0.308563      0.000000e+00          0.000000       4.091162e-01       8.467492e-02
L2N2      0.844618     0.759251       0.225702       1.000000          0.959696          0.000000      6.034195e-03          0.000000       5.650285e-01       0.000000e+00
L3N2      0.759251     0.825887       1.000000       0.686473          0.002338          0.339117      0.000000e+00          0.000000       7.154937e-07       1.056236e-01
L4N2      0.759251     0.717642       1.000000       0.863043          0.000000          0.516285      0.000000e+00          0.000000       0.000000e+00       1.032624e-01
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000       0.000000e+00       0.000000e+00
